dataset,seed,split,missing_rate,train_size,model,metric,accuracy,balanced_accuracy,macro_f1,accuracy_drop,balanced_accuracy_drop,macro_f1_drop,fit_seconds,predict_seconds,total_seconds,device,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,42,adult_fixed_test_seed42_train2048_missing0p0,0.0,2048,LightGBM,accuracy,0.8507523799774798,0.7692495221794717,0.7834897126618006,0.0,0.0,0.0,0.0979,0.1061,0.204,cpu,9769,48842,14,6,8,98,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,"Supplemental Adult missingness robustness check; model=LightGBM, train_size=2048, cell_missing_rate=0.0. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p0,0.0,2048,XGBoost,accuracy,0.8602722898966118,0.7793179717040917,0.7959096480540593,0.0,0.0,0.0,0.305,0.0466,0.3516,cpu,9769,48842,14,6,8,98,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,"Supplemental Adult missingness robustness check; model=XGBoost, train_size=2048, cell_missing_rate=0.0. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p0,0.0,2048,TabPFN v2,accuracy,0.8551540587572934,0.7706770840348256,0.787647715932535,0.0,0.0,0.0,0.265,4.6577,4.9227,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Supplemental Adult missingness robustness check; model=TabPFN v2, train_size=2048, cell_missing_rate=0.0. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p0,0.0,2048,TabICL,accuracy,0.8555635172484389,0.7672819192343728,0.7862854317322014,0.0,0.0,0.0,0.4775,1.9995,2.4771,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),"Supplemental Adult missingness robustness check; model=TabICL, train_size=2048, cell_missing_rate=0.0. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p1,0.1,2048,LightGBM,accuracy,0.8418466577950661,0.7548944731219261,0.7694606971256563,0.0089057221824137,0.0143550490575455,0.0140290155361442,0.0897,0.1132,0.2028,cpu,9769,48842,14,6,8,96,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,"Supplemental Adult missingness robustness check; model=LightGBM, train_size=2048, cell_missing_rate=0.1. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p1,0.1,2048,XGBoost,accuracy,0.852492578564848,0.7662893545051312,0.78337891844241,0.0077797113317638,0.0130286171989604,0.0125307296116492,0.1372,0.046,0.1833,cpu,9769,48842,14,6,8,96,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,"Supplemental Adult missingness robustness check; model=XGBoost, train_size=2048, cell_missing_rate=0.1. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p1,0.1,2048,TabPFN v2,accuracy,0.852492578564848,0.7627716192276615,0.7815908040284545,0.0026614801924454,0.0079054648071641,0.0060569119040805,0.1508,3.6296,3.7803,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Supplemental Adult missingness robustness check; model=TabPFN v2, train_size=2048, cell_missing_rate=0.1. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p1,0.1,2048,TabICL,accuracy,0.8542327771522162,0.761570319192056,0.7823170895059202,0.0013307400962226,0.0057116000423168,0.0039683422262812,0.4765,1.952,2.4285,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),"Supplemental Adult missingness robustness check; model=TabICL, train_size=2048, cell_missing_rate=0.1. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p3,0.3,2048,LightGBM,accuracy,0.8254683181492476,0.721263482608576,0.7388561116129548,0.0252840618282321,0.0479860395708957,0.0446336010488457,0.0862,0.1153,0.2015,cpu,9769,48842,14,6,8,92,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,"Supplemental Adult missingness robustness check; model=LightGBM, train_size=2048, cell_missing_rate=0.3. Missing masks are deterministic within each seed/rate split and are shared across models."
adult,42,adult_fixed_test_seed42_train2048_missing0p3,0.3,2048,XGBoost,accuracy,0.8316101955164296,0.7242746181896544,0.7446910246816976,0.0286620943801821,0.0550433535144372,0.0512186233723617,0.1078,0.0495,0.1573,cpu,9769,48842,14,6,8,92,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,"Supplemental Adult missingness robustness check; model=XGBoost, train_size=2048, cell_missing_rate=0.3. Missing masks are deterministic within each seed/rate split and are shared across models."
