dataset,scenario,seed,split,model,metric,accuracy,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,control_10k,42,adult_fixed_test_seed42_train10000,LightGBM,accuracy,0.8684,0.2344,0.0896,0.324,cpu,10000,9769,48842,14,6,8,104,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,42,adult_fixed_test_seed42_train10000,XGBoost,accuracy,0.8681,0.5016,0.0478,0.5495,cpu,10000,9769,48842,14,6,8,104,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,42,adult_fixed_test_seed42_train10000,TabPFN v2,accuracy,0.8621,0.4679,12.1028,12.5707,cuda,10000,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,42,adult_fixed_test_seed42_train10000,TabICL,accuracy,0.8703,0.5545,4.2838,4.8384,cuda,10000,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,control_10k,43,adult_fixed_test_seed43_train10000,LightGBM,accuracy,0.8712,0.2294,0.0919,0.3213,cpu,10000,9769,48842,14,6,8,105,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,43,adult_fixed_test_seed43_train10000,XGBoost,accuracy,0.8708,0.5267,0.0475,0.5743,cpu,10000,9769,48842,14,6,8,105,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,43,adult_fixed_test_seed43_train10000,TabPFN v2,accuracy,0.8641,0.3853,11.1742,11.5595,cuda,10000,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,43,adult_fixed_test_seed43_train10000,TabICL,accuracy,0.8698,0.5429,4.3102,4.8531,cuda,10000,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,control_10k,44,adult_fixed_test_seed44_train10000,LightGBM,accuracy,0.8688,0.2366,0.0996,0.3362,cpu,10000,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,44,adult_fixed_test_seed44_train10000,XGBoost,accuracy,0.8671,0.3917,0.0528,0.4445,cpu,10000,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,44,adult_fixed_test_seed44_train10000,TabPFN v2,accuracy,0.8561,0.4022,11.3127,11.7149,cuda,10000,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,44,adult_fixed_test_seed44_train10000,TabICL,accuracy,0.864,0.5034,4.2885,4.7919,cuda,10000,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,control_10k,45,adult_fixed_test_seed45_train10000,LightGBM,accuracy,0.8699,0.2304,0.0995,0.33,cpu,10000,9769,48842,14,6,8,104,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,45,adult_fixed_test_seed45_train10000,XGBoost,accuracy,0.8727,0.3982,0.0501,0.4483,cpu,10000,9769,48842,14,6,8,104,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,45,adult_fixed_test_seed45_train10000,TabPFN v2,accuracy,0.8619,0.3672,11.609,11.9762,cuda,10000,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,45,adult_fixed_test_seed45_train10000,TabICL,accuracy,0.8693,0.5781,4.3908,4.9689,cuda,10000,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,control_10k,46,adult_fixed_test_seed46_train10000,LightGBM,accuracy,0.8677,0.3021,0.112,0.4141,cpu,10000,9769,48842,14,6,8,104,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,46,adult_fixed_test_seed46_train10000,XGBoost,accuracy,0.8705,0.4003,0.0537,0.454,cpu,10000,9769,48842,14,6,8,104,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,46,adult_fixed_test_seed46_train10000,TabPFN v2,accuracy,0.8627,0.3911,11.9143,12.3054,cuda,10000,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,46,adult_fixed_test_seed46_train10000,TabICL,accuracy,0.8672,0.6026,4.5637,5.1663,cuda,10000,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,LightGBM,accuracy,0.8751,0.8333,0.0999,0.9332,cpu,39073,9769,48842,14,6,8,105,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,XGBoost,accuracy,0.8743,1.2593,0.0551,1.3144,cpu,39073,9769,48842,14,6,8,105,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
