dataset,train_size_label,train_size,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,512,512,42,adult_fixed_test_seed42_train512,LightGBM,accuracy,0.8337,0.7527,0.7624,0.0584,0.1144,0.1727,cpu,9769,48842,14,6,8,79,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
adult,512,512,42,adult_fixed_test_seed42_train512,XGBoost,accuracy,0.8454,0.7707,0.7801,0.2507,0.051,0.3017,cpu,9769,48842,14,6,8,79,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
adult,512,512,42,adult_fixed_test_seed42_train512,TabPFN v2,accuracy,0.8433,0.7613,0.7738,0.2694,3.758,4.0273,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; trained within TabPFN support range.
adult,512,512,42,adult_fixed_test_seed42_train512,TabICL,accuracy,0.8414,0.7583,0.7709,0.6676,2.948,3.6157,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,512,512,43,adult_fixed_test_seed43_train512,LightGBM,accuracy,0.8194,0.7466,0.7493,0.0406,0.1301,0.1708,cpu,9769,48842,14,6,8,84,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
adult,512,512,43,adult_fixed_test_seed43_train512,XGBoost,accuracy,0.8257,0.7517,0.7562,0.0722,0.0502,0.1224,cpu,9769,48842,14,6,8,84,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
adult,512,512,43,adult_fixed_test_seed43_train512,TabPFN v2,accuracy,0.8439,0.757,0.7721,0.2568,2.6045,2.8613,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; trained within TabPFN support range.
adult,512,512,43,adult_fixed_test_seed43_train512,TabICL,accuracy,0.8427,0.7685,0.7769,0.4665,2.8254,3.2919,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,512,512,44,adult_fixed_test_seed44_train512,LightGBM,accuracy,0.8243,0.7334,0.7454,0.0404,0.115,0.1554,cpu,9769,48842,14,6,8,83,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
adult,512,512,44,adult_fixed_test_seed44_train512,XGBoost,accuracy,0.831,0.7381,0.7526,0.0701,0.0487,0.1188,cpu,9769,48842,14,6,8,83,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
