dataset,train_size_label,model,n_runs,seeds,train_size_min,train_size_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,fit_seconds_median,predict_seconds_median,total_seconds_median
adult,10000,LightGBM,5,"42,43,44,45,46",10000,10000,0.8692,0.0014,0.8677,0.8712,0.7934,0.0026,0.7895,0.7963,0.8097,0.0018,0.8086,0.8128,0.2283,0.0937,0.3217
adult,10000,TabICL,5,"42,43,44,45,46",10000,10000,0.8681,0.0026,0.864,0.8703,0.7909,0.0059,0.7856,0.8003,0.8077,0.0043,0.8018,0.8127,0.4822,4.7568,5.2162
adult,10000,TabPFN v2,5,"42,43,44,45,46",10000,10000,0.8614,0.0031,0.8561,0.8641,0.7789,0.0075,0.7679,0.786,0.7966,0.0058,0.787,0.8017,0.3636,12.3166,12.6806
adult,10000,XGBoost,5,"42,43,44,45,46",10000,10000,0.8698,0.0022,0.8671,0.8727,0.7887,0.0032,0.7851,0.7927,0.8082,0.0028,0.8043,0.8108,0.3754,0.052,0.4251
adult,2048,LightGBM,5,"42,43,44,45,46",2048,2048,0.8471,0.0058,0.8375,0.8525,0.7644,0.0109,0.7488,0.7782,0.7782,0.0097,0.7631,0.7891,0.0849,0.1135,0.1989
adult,2048,TabICL,5,"42,43,44,45,46",2048,2048,0.8564,0.0039,0.8502,0.86,0.7699,0.0077,0.7601,0.7802,0.7882,0.0063,0.7785,0.7938,0.3951,1.9769,2.372
adult,2048,TabPFN v2,5,"42,43,44,45,46",2048,2048,0.8552,0.0039,0.849,0.8588,0.7687,0.0079,0.7574,0.7775,0.7867,0.0063,0.7761,0.792,0.1369,3.6236,3.7648
adult,2048,XGBoost,5,"42,43,44,45,46",2048,2048,0.8575,0.0047,0.8502,0.8626,0.7723,0.0102,0.756,0.7822,0.7902,0.008,0.7763,0.7959,0.1302,0.0491,0.1793
adult,512,LightGBM,5,"42,43,44,45,46",512,512,0.8274,0.0057,0.8194,0.8337,0.7403,0.0093,0.7303,0.7527,0.7513,0.0069,0.7454,0.7624,0.0429,0.118,0.1629
adult,512,TabICL,5,"42,43,44,45,46",512,512,0.8426,0.0033,0.8385,0.8477,0.7499,0.0132,0.7366,0.7685,0.7671,0.0077,0.7568,0.7769,0.3948,2.8254,3.2788
adult,512,TabPFN v2,5,"42,43,44,45,46",512,512,0.8436,0.005,0.8363,0.8504,0.7468,0.0121,0.7325,0.7613,0.7662,0.0082,0.7529,0.7738,0.1257,2.6045,2.722
adult,512,XGBoost,5,"42,43,44,45,46",512,512,0.8344,0.0079,0.8257,0.8454,0.7485,0.0162,0.7283,0.7707,0.7605,0.0133,0.7465,0.7801,0.0808,0.0502,0.1297
adult,8192,LightGBM,5,"42,43,44,45,46",8192,8192,0.8672,0.0013,0.8661,0.8688,0.7918,0.0026,0.7878,0.7944,0.8073,0.0014,0.8064,0.8098,0.26,0.0961,0.3561
adult,8192,TabICL,5,"42,43,44,45,46",8192,8192,0.8676,0.0023,0.8642,0.8707,0.786,0.0033,0.7828,0.7915,0.8051,0.0034,0.8007,0.8102,0.4502,4.1024,4.5535
adult,8192,TabPFN v2,5,"42,43,44,45,46",8192,8192,0.8602,0.0031,0.8548,0.8627,0.778,0.0066,0.7681,0.7843,0.7952,0.0055,0.7861,0.8002,0.3107,10.0787,10.3912
adult,8192,XGBoost,5,"42,43,44,45,46",8192,8192,0.8692,0.0022,0.8669,0.8727,0.7888,0.0031,0.7847,0.7927,0.8077,0.0023,0.8039,0.8098,0.3264,0.0513,0.377
adult,full,LightGBM,5,"42,43,44,45,46",39073,39073,0.8752,0.0025,0.8721,0.8781,0.8013,0.0041,0.7968,0.8079,0.8183,0.0036,0.8138,0.8236,0.7655,0.0955,0.8572
adult,full,TabICL,5,"42,43,44,45,46",39073,39073,0.8707,0.0021,0.8677,0.8729,0.7991,0.0101,0.7891,0.8113,0.8133,0.0028,0.81,0.8171,0.7418,21.6529,22.3303
adult,full,TabPFN v2,5,"42,43,44,45,46",39073,39073,0.8633,0.0023,0.8597,0.8654,0.7778,0.0062,0.7682,0.7846,0.7977,0.0048,0.79,0.8026,1.3099,82.892,84.177
adult,full,XGBoost,5,"42,43,44,45,46",39073,39073,0.8743,0.0033,0.8695,0.8781,0.7953,0.006,0.7868,0.8035,0.815,0.0054,0.8071,0.8218,1.156,0.0524,1.2079
bank_marketing,10000,LightGBM,5,"42,43,44,45,46",10000,10000,0.9044,0.0014,0.9026,0.9063,0.7092,0.0042,0.7048,0.7158,0.7367,0.0023,0.7338,0.7397,0.2227,0.0889,0.3083
bank_marketing,10000,TabICL,5,"42,43,44,45,46",10000,10000,0.9093,0.0021,0.9062,0.9116,0.7397,0.0079,0.7322,0.7522,0.7606,0.0057,0.7566,0.769,0.4668,4.2979,4.7647
bank_marketing,10000,TabPFN v2,5,"42,43,44,45,46",10000,10000,0.9093,0.0013,0.9079,0.9114,0.7215,0.0107,0.7027,0.7286,0.7504,0.0077,0.7369,0.7564,0.3965,12.0045,12.5282
bank_marketing,10000,XGBoost,5,"42,43,44,45,46",10000,10000,0.904,0.0016,0.9017,0.9061,0.7019,0.0055,0.6964,0.7106,0.7315,0.0038,0.727,0.7368,0.2901,0.0482,0.3384
bank_marketing,2048,LightGBM,5,"42,43,44,45,46",2048,2048,0.8953,0.0037,0.8889,0.898,0.6668,0.0164,0.6439,0.6865,0.6966,0.0156,0.6722,0.7119,0.0996,0.1116,0.2111
bank_marketing,2048,TabICL,5,"42,43,44,45,46",2048,2048,0.9036,0.0031,0.8994,0.9066,0.6888,0.0175,0.6725,0.7112,0.7219,0.0152,0.7061,0.7404,0.4115,1.9224,2.3513
bank_marketing,2048,TabPFN v2,5,"42,43,44,45,46",2048,2048,0.9043,0.0035,0.9011,0.9103,0.6905,0.0179,0.6718,0.7155,0.7239,0.016,0.707,0.7482,0.1514,3.7485,3.8999
bank_marketing,2048,XGBoost,5,"42,43,44,45,46",2048,2048,0.8965,0.0022,0.8952,0.9004,0.67,0.0167,0.6519,0.696,0.7002,0.0145,0.6854,0.7233,0.1114,0.0483,0.1597
bank_marketing,512,LightGBM,5,"42,43,44,45,46",512,512,0.888,0.002,0.8859,0.8901,0.6336,0.0179,0.6099,0.6514,0.6618,0.0176,0.638,0.6792,0.0609,0.1263,0.1872
bank_marketing,512,TabICL,5,"42,43,44,45,46",512,512,0.8983,0.0044,0.8938,0.9043,0.6458,0.0271,0.6104,0.6753,0.6815,0.0283,0.6444,0.7133,0.3924,3.3171,3.6889
bank_marketing,512,TabPFN v2,5,"42,43,44,45,46",512,512,0.895,0.0041,0.8912,0.8995,0.6246,0.0259,0.6034,0.6539,0.6587,0.0284,0.6366,0.6905,0.1103,2.6649,2.7932
bank_marketing,512,XGBoost,5,"42,43,44,45,46",512,512,0.8906,0.0039,0.8854,0.8938,0.6405,0.0269,0.6108,0.6648,0.6697,0.0274,0.6387,0.6938,0.0853,0.0546,0.1399
bank_marketing,8192,LightGBM,5,"42,43,44,45,46",8192,8192,0.9025,0.002,0.8998,0.905,0.7023,0.0095,0.6931,0.7179,0.7299,0.0075,0.7232,0.7427,0.2158,0.0884,0.2985
bank_marketing,8192,TabICL,5,"42,43,44,45,46",8192,8192,0.9083,0.0025,0.9045,0.9114,0.729,0.0062,0.7229,0.7358,0.7535,0.0066,0.745,0.7615,0.4283,3.6075,4.0517
bank_marketing,8192,TabPFN v2,5,"42,43,44,45,46",8192,8192,0.9096,0.0009,0.9083,0.9104,0.718,0.0099,0.7062,0.7296,0.7486,0.0063,0.7416,0.7559,0.3046,9.3872,9.7262
bank_marketing,8192,XGBoost,5,"42,43,44,45,46",8192,8192,0.903,0.0031,0.8982,0.9062,0.6963,0.0077,0.6864,0.7076,0.7267,0.0068,0.7199,0.7364,0.244,0.0456,0.2894
bank_marketing,full,LightGBM,5,"42,43,44,45,46",36168,36168,0.9083,0.0015,0.9059,0.91,0.7273,0.0069,0.7179,0.7361,0.7524,0.0053,0.7439,0.7573,0.638,0.0822,0.7195
bank_marketing,full,TabICL,5,"42,43,44,45,46",36168,36168,0.9119,0.0019,0.9093,0.9135,0.7599,0.0059,0.7527,0.7687,0.7745,0.0017,0.7725,0.7765,0.7081,19.4318,20.1147
bank_marketing,full,TabPFN v2,5,"42,43,44,45,46",36168,36168,0.911,0.0019,0.908,0.9128,0.7209,0.0024,0.7167,0.7231,0.7523,0.0024,0.7488,0.755,1.3587,79.0334,80.392
bank_marketing,full,XGBoost,5,"42,43,44,45,46",36168,36168,0.9083,0.0017,0.9053,0.9097,0.7184,0.0055,0.7131,0.727,0.7472,0.0048,0.7403,0.7531,0.8385,0.0472,0.8875
