dataset,seed,split,strategy,strategy_display,budget,requested_budget,actual_support_size,support_class_counts,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,full_train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,retrieval_n_features_after_encoding,random_state,test_size_ratio,data_cache,input_representation,selection_method,notes
adult,42,adult_fixed_test_seed42_phase6_support_selection,full_context,Full Context,full,39073,39073,"{""<=50K"": 29724, "">50K"": 9349}",TabICL,accuracy,0.8729,0.7946,0.8135,0.981,44.8195,45.8005,cuda,39073,9769,48842,14,6,8,14,,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),full_context,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Full Context. Full Context uses the complete seed-specific training split as a budget-independent reference with support_size=39073.
adult,42,adult_fixed_test_seed42_phase6_support_selection,random_subset,Random Subset,512,512,512,"{""<=50K"": 410, "">50K"": 102}",TabICL,accuracy,0.8402,0.7068,0.7381,0.5491,3.1104,3.6594,cuda,39073,9769,48842,14,6,8,14,,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=512 examples without replacement from the training split using the experiment seed.
adult,42,adult_fixed_test_seed42_phase6_support_selection,balanced_random_subset,Balanced Random Subset,512,512,512,"{""<=50K"": 256, "">50K"": 256}",TabICL,accuracy,0.787,0.8159,0.7532,0.4649,3.0583,3.5232,cuda,39073,9769,48842,14,6,8,14,,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=512 using the experiment seed."
adult,42,adult_fixed_test_seed42_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,512,512,512,"{""<=50K"": 256, "">50K"": 256}",TabICL,accuracy,0.6967,0.7052,0.654,0.3791,2.8506,3.2298,cuda,39073,9769,48842,14,6,8,14,105.0,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=512."
adult,42,adult_fixed_test_seed42_phase6_support_selection,random_subset,Random Subset,2048,2048,2048,"{""<=50K"": 1583, "">50K"": 465}",TabICL,accuracy,0.86,0.7711,0.7917,0.4258,2.1033,2.5291,cuda,39073,9769,48842,14,6,8,14,,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=2048 examples without replacement from the training split using the experiment seed.
adult,42,adult_fixed_test_seed42_phase6_support_selection,balanced_random_subset,Balanced Random Subset,2048,2048,2048,"{""<=50K"": 1024, "">50K"": 1024}",TabICL,accuracy,0.8191,0.8285,0.7817,0.4012,2.0987,2.4998,cuda,39073,9769,48842,14,6,8,14,,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=2048 using the experiment seed."
adult,42,adult_fixed_test_seed42_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,2048,2048,2048,"{""<=50K"": 1024, "">50K"": 1024}",TabICL,accuracy,0.7281,0.7643,0.6951,0.4695,2.0628,2.5322,cuda,39073,9769,48842,14,6,8,14,105.0,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=2048."
adult,42,adult_fixed_test_seed42_phase6_support_selection,random_subset,Random Subset,8192,8192,8192,"{""<=50K"": 6262, "">50K"": 1930}",TabICL,accuracy,0.8691,0.7984,0.8118,0.4885,4.2752,4.7637,cuda,39073,9769,48842,14,6,8,14,,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=8192 examples without replacement from the training split using the experiment seed.
adult,42,adult_fixed_test_seed42_phase6_support_selection,balanced_random_subset,Balanced Random Subset,8192,8192,8192,"{""<=50K"": 4096, "">50K"": 4096}",TabICL,accuracy,0.8306,0.8414,0.7947,0.4372,4.2349,4.672,cuda,39073,9769,48842,14,6,8,14,,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=8192 using the experiment seed."
adult,42,adult_fixed_test_seed42_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,8192,8192,8192,"{""<=50K"": 4096, "">50K"": 4096}",TabICL,accuracy,0.6474,0.7247,0.6277,0.6043,4.2613,4.8656,cuda,39073,9769,48842,14,6,8,14,105.0,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=8192."
